,id,artist,album,disc,track_number,name,release_date,added_at,target
0,4bdPZXlxhqSiHWLDHp2Wjl,London Grammar,How Does It Feel,1,1,How Does It Feel,2021-03-09,2021-03-11 13:00:00+00:00,A
1,0T7PAJKN2k6k7kBSWIcw34,Genesis Owusu,Gold Chains,1,1,Gold Chains,2021-02-17,2021-03-11 13:00:00+00:00,A
2,1q2Zb0v5ZGxKDktEz7wSPb,girl in red,Serotonin,1,1,Serotonin,2021-03-03,2021-03-11 13:00:00+00:00,A
3,08ZZ7SILfKcreLtA3K6Gqr,Goth Babe,I Wanna Help Your Mind,1,1,I Wanna Help Your Mind,2021-03-10,2021-03-11 13:00:00+00:00,A
4,0UsNgv6unHisK9NslsZxwz,Tkay Maidza,Where Is My Mind?,1,1,Where Is My Mind?,2021-03-10,2021-03-11 13:00:00+00:00,A
5,0e552GYfR4MHn1qKYD36q0,Winston Surfshirt,Cover Your Mouth (Live From Lockdown),1,1,You Give Me Something - Live From Lockdown,2021-03-12,2021-03-11 13:00:00+00:00,A
6,7v6rH68U9wPAzRzYNmgtCx,MAY-A,Time I Love to Waste,1,1,Time I Love to Waste,2021-02-18,2021-03-11 13:00:00+00:00,A
7,51V7IK66jWw2AB3UZ18zxh,Verzache,All I Need,1,1,All I Need,2021-01-29,2021-03-11 13:00:00+00:00,A
8,3gCYle76USfbHa7VDTDg5V,Paul McCartney,The Kiss Of Venus (Dominic Fike),1,1,The Kiss Of Venus (Dominic Fike),2021-03-11,2021-03-11 13:00:00+00:00,A
9,4vm3gEWDruvvtHOdPEcVQT,Tash Sultana,Terra Firma,1,9,Blame It On Society,2021-02-19,2021-03-11 13:00:00+00:00,A
10,65su2AKgWHQhxFB9z7lRt3,Taka Perry,Twenty (feat. Stevan),1,1,Twenty (feat. Stevan),2021-03-12,2021-03-11 13:00:00+00:00,A
11,5DeWVeHLfD2Br4Okh7dJRy,Allday,Void,1,1,Void,2021-03-10,2021-03-11 13:00:00+00:00,A
12,0RW1UL8w8rjQkaIaljaFc5,Remi Wolf,Photo ID (with Dominic Fike),1,1,Photo ID (with Dominic Fike),2021-03-03,2021-03-11 13:00:00+00:00,A
13,60hJh9xajGyiVdoKEwCEKv,Crooked Colours,No Sleep,1,1,No Sleep,2021-03-12,2021-03-11 13:00:00+00:00,A
14,34hdwAVK7oA3OswpGv5gVX,Blu DeTiger,How Did We Get Here?,1,3,Toast with the Butter,2021-03-05,2021-03-11 13:00:00+00:00,A
15,2ZrCz6tDHMvzJSrJGVO3zT,Chet Faker,Get High,1,1,Get High,2021-02-05,2021-03-11 13:00:00+00:00,A
16,6tDDoYIxWvMLTdKpjFkc1B,Kali Uchis,Sin Miedo (del Amor y Otros Demonios) ∞,1,7,telepatía,2020-12-04,2021-03-11 13:00:00+00:00,A
17,2m3RjRXib3un5AEh08k8Fe,Kito,Recap (with VanJess & Channel Tres),1,1,Recap (with VanJess & Channel Tres),2021-02-02,2021-03-11 13:00:00+00:00,A
18,5o3IfIHZBTQCJS2y1c13su,Sycco,My Ways,1,1,My Ways,2021-02-26,2021-03-11 13:00:00+00:00,A
19,1ljQ8uKlwqJeyb007xeH8i,Peach Tree Rascals,LEAVE ME,1,1,LEAVE ME,2021-03-05,2021-03-11 13:00:00+00:00,A
20,7355r4wB8D6crALDxPZ8KR,Middle Kids,Stacking Chairs,1,1,Stacking Chairs,2021-03-03,2021-03-11 13:00:00+00:00,A
21,7eZbwMtoH1s7EyM4tcv7ol,Slum Sociable,Questions,1,1,Questions,2021-03-04,2021-03-11 13:00:00+00:00,A
22,4RGXedMqIrohHTmhMXPnLc,Ladyhawke,Guilty Love,1,1,Guilty Love,2021-03-05,2021-03-11 13:00:00+00:00,A
23,5QGHOeBYDauPtC8yYD3wZZ,Arden Jones,Parallel Parking,1,1,Parallel Parking,2021-01-21,2021-03-11 13:00:00+00:00,A
24,4BCfK18FNUMdy0P8yeujmh,Genesis Owusu,Smiling with No Teeth,1,12,Easy,2021-03-05,2021-03-11 13:00:00+00:00,A
25,21TLD85Q0waH65GxMnIJft,Oliver Malcolm,Skywalker,1,1,Skywalker,2021-03-03,2021-03-11 13:00:00+00:00,A
26,4nlvKIIetOWGIMyhjQXgOZ,Flume,The Difference,1,1,The Difference,2020-03-11,2021-03-11 13:00:00+00:00,A
27,7IE6uE2NqL9SI5gOSeNi3r,Emotional Oranges,Body & Soul (feat. Biig Piig),1,1,Body & Soul (feat. Biig Piig),2021-03-03,2021-03-11 13:00:00+00:00,A
28,7oSBbwzlOb0y7dO8PgLVTS,Planet Vegeta,Letters To Chi-Chi,1,2,Sailor Moon,2021-03-12,2021-03-11 13:00:00+00:00,A
29,2bzUVEvpZ7At5cYz1kOLI9,HAIM,Women In Music Pt III (Expanded Edition),1,14,Gasoline (feat. Taylor Swift),2021-02-19,2021-03-11 13:00:00+00:00,A
30,4JtbUXLuBb8C7q1x7B54ZY,The Jungle Giants,In Her Eyes,1,1,In Her Eyes,2020-11-17,2021-03-11 13:00:00+00:00,A
31,4omZ3OpUWvrFBdF5bSLlkn,Mel Blue,Endlessly,1,1,Endlessly,2021-03-05,2021-03-11 13:00:00+00:00,A
32,1vqYqiZA1Su4GgqIO4oVSY,Jorja Smith,Addicted,1,1,Addicted,2021-03-10,2021-03-15 00:15:05+00:00,A
33,2iwLygOHE2YStc23isxS3b,slowthai,TYRON,2,3,terms (feat. Dominic Fike & Denzel Curry),2021-02-12,2021-03-11 13:00:00+00:00,A
34,0kiuMdZ9G8X9Odc8oifwX9,St. Vincent,Pay Your Way In Pain,1,1,Pay Your Way In Pain,2021-03-04,2021-03-11 13:00:00+00:00,A
35,6bKM56cyoz8kjiK7QKQ87i,REI AMI,do it right (feat. Aminé),1,1,do it right (feat. Aminé),2021-03-05,2021-03-11 13:00:00+00:00,A
36,7MUhRZD1UNEYk4PPq2wSw3,Budjerah,Higher,1,1,Higher,2021-02-19,2021-03-11 13:00:00+00:00,A
37,1CA6nEpwJvpraGPVXV6kg0,London Grammar,Lose Your Head,1,1,Lose Your Head,2021-01-04,2021-03-11 13:00:00+00:00,A
