danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.73,0.647,11,-6.086,0,0.064,0.0741,0,0.286,0.333,103.951,audio_features,4bdPZXlxhqSiHWLDHp2Wjl,spotify:track:4bdPZXlxhqSiHWLDHp2Wjl,https://api.spotify.com/v1/tracks/4bdPZXlxhqSiHWLDHp2Wjl,https://api.spotify.com/v1/audio-analysis/4bdPZXlxhqSiHWLDHp2Wjl,211512,4
0.66,0.708,10,-9.142,1,0.117,0.101,0.00185,0.0869,0.908,75.219,audio_features,0T7PAJKN2k6k7kBSWIcw34,spotify:track:0T7PAJKN2k6k7kBSWIcw34,https://api.spotify.com/v1/tracks/0T7PAJKN2k6k7kBSWIcw34,https://api.spotify.com/v1/audio-analysis/0T7PAJKN2k6k7kBSWIcw34,218307,4
0.58,0.788,2,-4.714,1,0.259,0.0123,1.84e-05,0.368,0.72,148.992,audio_features,1q2Zb0v5ZGxKDktEz7wSPb,spotify:track:1q2Zb0v5ZGxKDktEz7wSPb,https://api.spotify.com/v1/tracks/1q2Zb0v5ZGxKDktEz7wSPb,https://api.spotify.com/v1/audio-analysis/1q2Zb0v5ZGxKDktEz7wSPb,182426,4
0.747,0.725,8,-8.517,1,0.215,0.2,0.197,0.0688,0.799,119.942,audio_features,08ZZ7SILfKcreLtA3K6Gqr,spotify:track:08ZZ7SILfKcreLtA3K6Gqr,https://api.spotify.com/v1/tracks/08ZZ7SILfKcreLtA3K6Gqr,https://api.spotify.com/v1/audio-analysis/08ZZ7SILfKcreLtA3K6Gqr,171938,4
0.544,0.507,1,-4.963,0,0.0314,0.0056,0.000192,0.288,0.151,148.002,audio_features,0UsNgv6unHisK9NslsZxwz,spotify:track:0UsNgv6unHisK9NslsZxwz,https://api.spotify.com/v1/tracks/0UsNgv6unHisK9NslsZxwz,https://api.spotify.com/v1/audio-analysis/0UsNgv6unHisK9NslsZxwz,177261,4
0.895,0.78,11,-5.842,0,0.0796,0.135,0.0097,0.115,0.585,117.05,audio_features,0e552GYfR4MHn1qKYD36q0,spotify:track:0e552GYfR4MHn1qKYD36q0,https://api.spotify.com/v1/tracks/0e552GYfR4MHn1qKYD36q0,https://api.spotify.com/v1/audio-analysis/0e552GYfR4MHn1qKYD36q0,207073,4
0.65,0.628,7,-5.094,0,0.0321,0.0202,2.19e-06,0.289,0.812,119.999,audio_features,7v6rH68U9wPAzRzYNmgtCx,spotify:track:7v6rH68U9wPAzRzYNmgtCx,https://api.spotify.com/v1/tracks/7v6rH68U9wPAzRzYNmgtCx,https://api.spotify.com/v1/audio-analysis/7v6rH68U9wPAzRzYNmgtCx,197488,4
0.663,0.786,9,-5.325,1,0.0353,0.212,1.96e-06,0.0957,0.319,145.977,audio_features,51V7IK66jWw2AB3UZ18zxh,spotify:track:51V7IK66jWw2AB3UZ18zxh,https://api.spotify.com/v1/tracks/51V7IK66jWw2AB3UZ18zxh,https://api.spotify.com/v1/audio-analysis/51V7IK66jWw2AB3UZ18zxh,203751,4
0.715,0.374,8,-6.665,1,0.0399,0.627,0,0.11,0.633,89.982,audio_features,3gCYle76USfbHa7VDTDg5V,spotify:track:3gCYle76USfbHa7VDTDg5V,https://api.spotify.com/v1/tracks/3gCYle76USfbHa7VDTDg5V,https://api.spotify.com/v1/audio-analysis/3gCYle76USfbHa7VDTDg5V,143531,4
0.624,0.559,9,-6.932,1,0.0465,0.469,0.000109,0.181,0.529,92.973,audio_features,4vm3gEWDruvvtHOdPEcVQT,spotify:track:4vm3gEWDruvvtHOdPEcVQT,https://api.spotify.com/v1/tracks/4vm3gEWDruvvtHOdPEcVQT,https://api.spotify.com/v1/audio-analysis/4vm3gEWDruvvtHOdPEcVQT,298350,4
